#from FMC116_112_user_manual.pdf Table 7.
# awk '(NF==3)&&($3!="N.C."){printf "\"%s\"\t\"FMC_%s\"\t\"LVDS_25\"\n", $3, $1}' pinmap.txt > fmc.map

CLK0_M2C_N  H5  CLK_TO_FPGA_N
HB09_P  E27  N.C.
HB10_N  K32  N.C.
HB10_P  K31  N.C.
HB11_N  J31  N.C.
HB11_P  J30  N.C.
HB12_N  F32  N.C.
HB12_P  F31  N.C.
HB13_N  E31  N.C.
HB13_P  E30  N.C.
HB14_N  K35  N.C.
HB14_P  K34  N.C.
HB15_N  J34  N.C.
HB15_P  J33  N.C.
HB16_N  F35  N.C.
HB16_P  F34  N.C.
HB17_CC_N  K38  N.C.
HB17_CC_P  K37  N.C.
HB18_N  J37  N.C.
HB18_P  J36  N.C.
HB19_N  E34  N.C.
HB19_P  E33  N.C.
HB20_N  F38  N.C.
HB20_P  F37  N.C.
HB21_N  E37  N.C.
HB21_P  E36  N.C.
